6935,3552
13453,12796
1819,570
11415,2216
14075,12327
11614,4713
9349,6135
11614,4196
14147,11785
8982,2804
11905,7143
2238,1428
12475,12160
7150,444
11602,5589
11391,1779
11990,11989
14080,13842
11940,11602
11563,1892
12054,11457
8141,2013
11373,2137
11375,2466
11850,7031
6817,3481
8397,1017
14002,12447
12623,11209
13262,12183
2098,1241
13749,11362
8388,428
1929,1130
11375,2577
11615,11517
9798,6844
13565,11750
450,164
11236,2598
11612,3986
6074,9
11897,11750
11111,2196
11880,11199
13290,11800
11047,9319
11374,2078
6866,428
11465,1960
6950,3712
14281,11258
12254,12089
6001,3441
13467,10983
9470,5843
13254,11276
2027,1285
12195,11119
6991,602
2215,427
13450,12407
7970,521
11222,1807
13698,12027
11424,2363
12355,11617
11184,1914
14206,11397
12875,10971
13325,11789
7079,1400
13694,12965
11121,10028
7116,1562
11310,1826
11547,1960
8258,656
8230,449
11607,3886
11269,10971
13833,11891
11775,7036
6928,3442
11193,2355
2155,1024
6865,3381
9818,6947
6071,3066
13794,11285
11919,11771
11619,3916
9280,2039
9058,1907
10434,6975
13819,13693
11403,11289
11544,1921
11914,6416
7052,633
6108,3284
7188,1091
7213,442
6998,1089
9018,1923
11891,11461
11678,11235
10901,7877
11129,2162
2117,1230
7096,492
2733,1130
14281,11269
1803,578
8165,1981
11658,11315
11108,10993
11143,1809
14030,13417
12631,11826
13346,11372
2115,1241
2738,1379
12191,12173
6816,3381
6932,3115
2137,986
5866,3404
8172,438
11623,4739
11615,3779
7163,752
13508,10080
11306,2469
1772,965
11608,5121
13678,13567
5910,6
14260,12218
8980,7746
10502,6924
1803,1227
2106,467
11191,2438
9030,1916
11217,11013
13558,11955
6896,3066
13202,12783
11616,5145
7333,424
7674,2661
6816,3389
11607,3947
1804,1404
1819,471
13818,12312
13276,13004
12066,11413
11928,6760
8654,2052
1834,559
14143,11461
7024,731
11373,2120
5962,3485
2607,514
11620,4603
13958,11020
7081,982
1986,1215
6416,442
13004,11714
14013,13754
1772,1278
12315,11490
6895,3586
12169,11694
14058,11914
14038,11247
2101,1211
6080,3089
12892,11118
6991,734
13596,12735
8074,7897
12869,12191
13622,12581
2155,697
14143,11413
6743,3080
7335,1164
7001,436
13846,10453
8058,2475
12133,12100
11775,7121
8897,2203
456,401
11609,5032
