hsa-mir-129-1-3p,0.1,0.9,hsa-miR-30c-2,#N/A,
hsa-mir-758-5p,0.1,0.9,hsa-miR-30d,#N/A,
hsa-mir-612,0.1,0.9,hsa-miR-32,hsa-miR-612,
hsa-mir-665,0.1,0.9,hsa-miR-23a,#N/A,
hsa-mir-105-5p,0.1,0.9,hsa-miR-17-5p,#N/A,
hsa-mir-1207-5p,0.1,0.9,hsa-miR-17-5p,#N/A,
hsa-mir-1179,0.1,0.9,hsa-miR-181a,#N/A,
hsa-mir-765,0.1,0.9,hsa-miR-181a,#N/A,
hsa-mir-520h,0.1,0.9,hsa-miR-181b,#N/A,
hsa-mir-663b,0.1,0.9,hsa-miR-181b,#N/A,
hsa-mir-1233-5p,0.1,0.9,hsa-miR-181b,#N/A,
hsa-mir-488-5p,0.1,0.9,hsa-miR-181d,#N/A,
hsa-mir-7-2-3p,0.1,0.9,hsa-miR-182,#N/A,
hsa-mir-647,0.1,0.9,hsa-miR-183,#N/A,
hsa-mir-662,0.1,0.9,hsa-miR-18a,hsa-miR-662,
hsa-mir-7-1-3p,0.1,0.9,hsa-miR-196a,#N/A,
hsa-mir-151b,0.1,0.9,hsa-miR-196a,#N/A,
hsa-mir-760,0.1,0.9,hsa-miR-198,#N/A,
hsa-mir-378g,0.1,0.9,hsa-miR-19a,#N/A,
hsa-mir-1236-5p,0.1,0.9,hsa-miR-19a,#N/A,
hsa-mir-1296-5p,0.1,0.9,hsa-miR-19b,#N/A,
hsa-mir-675-5p,0.1,0.9,hsa-miR-19b,#N/A,
hsa-mir-1287-5p,0.1,0.9,hsa-miR-205,#N/A,
hsa-mir-1258,0.1,0.9,hsa-miR-20a,#N/A,
hsa-mir-570-5p,0.1,0.9,hsa-miR-222,#N/A,
hsa-mir-492,0.1,0.9,hsa-miR-222,#N/A,
hsa-mir-520a-5p,0.1,0.9,hsa-miR-222,#N/A,
hsa-mir-520e-5p,0.1,0.9,hsa-miR-222,#N/A,
hsa-mir-605-5p,0.1,0.9,hsa-miR-223,#N/A,
hsa-mir-551a,0.1,0.9,hsa-miR-223,hsa-miR-551a,
hsa-mir-573,0.1,0.9,hsa-miR-223,#N/A,
hsa-mir-302f,0.1,0.9,hsa-miR-223,#N/A,
hsa-mir-190b-5p,0.1,0.9,hsa-miR-223,#N/A,
hsa-mir-877-5p,0.1,0.9,hsa-miR-223,#N/A,
hsa-mir-1291,0.1,0.9,hsa-miR-223,#N/A,
hsa-mir-20b-5p,0.2,0.8,hsa-miR-223,#N/A,
hsa-mir-379-5p,0.2,0.8,hsa-miR-223,#N/A,
hsa-mir-181c-5p,0.2,0.8,hsa-miR-223,#N/A,
hsa-mir-346,0.2,0.8,hsa-miR-223,#N/A,
