hsa-mir-188-5p,0,1,hsa-miR-335,#N/A,hsa-miR-129-5p,hsa-miR-188-5p
hsa-mir-942-5p,0,1,hsa-miR-355,#N/A,hsa-miR-7-5p,hsa-miR-942-5p
hsa-mir-511-5p,0,1,hsa-miR-365,#N/A,hsa-miR-372-3p,hsa-miR-511-5p
hsa-mir-939-5p,0,1,hsa-miR-373,#N/A,hsa-miR-137,hsa-miR-939-5p
hsa-mir-3663-5p,0,1,hsa-miR-429,#N/A,hsa-miR-27a-3p,#N/A
hsa-mir-369-5p,0,1,hsa-miR-451,#N/A,hsa-miR-24-3p,hsa-miR-369-5p
hsa-mir-766-5p,0,1,hsa-miR-497,#N/A,hsa-miR-144-3p,#N/A
hsa-mir-95-5p,0,1,hsa-miR-510,#N/A,hsa-miR-221-3p,#N/A
hsa-mir-1260a,0,1,hsa-miR-516-3p,#N/A,hsa-miR-15a-5p,hsa-miR-1260a
hsa-mir-622,0,1,hsa-miR-661,hsa-miR-622,hsa-miR-135a-5p,hsa-miR-622
hsa-mir-655-5p,0,1,hsa-miR-663,#N/A,hsa-miR-206,#N/A
hsa-mir-1260b,0,1,hsa-miR-7,#N/A,hsa-miR-198,#N/A
hsa-mir-1236-5p,0,1,hsa-miR-9-1,#N/A,hsa-miR-224-5p,#N/A
hsa-mir-325,0,1,hsa-miR-9-3,#N/A,hsa-miR-337-3p,hsa-miR-325
hsa-mir-1296-5p,0,1,hsa-miR-96,#N/A,hsa-let-7i-5p,hsa-miR-1296-5p
hsa-mir-522-5p,0,1,hsa-miR-20a,#N/A,hsa-miR-30c-5p,#N/A
hsa-mir-582-5p,0,1,hsa-miR-208,#N/A,hsa-miR-216a-5p,hsa-miR-582-5p
hsa-mir-512-5p,0,1,hsa-miR-210,#N/A,hsa-miR-330-3p,hsa-miR-512-5p
hsa-mir-520e-5p,0,1,hsa-miR-223,#N/A,hsa-miR-367-3p,#N/A
hsa-mir-520f-5p,0,1,hsa-miR-596,#N/A,hsa-miR-138-5p,#N/A
hsa-mir-1303,0,1,hsa-miR-600,#N/A,hsa-miR-30a-5p,hsa-miR-1303
hsa-mir-499b-5p,0,1,hsa-miR-601,#N/A,hsa-miR-217,#N/A
hsa-mir-1231,0,1,hsa-miR-602,#N/A,hsa-miR-302b-3p,hsa-miR-1231
hsa-mir-624-5p,0,1,hsa-miR-608,#N/A,hsa-miR-208a-3p,hsa-miR-624-5p
hsa-mir-604,0,1,hsa-miR-611,#N/A,hsa-miR-10b-5p,hsa-miR-604
hsa-mir-589-5p,0,1,hsa-miR-612,#N/A,hsa-miR-27b-3p,hsa-miR-589-5p
